,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITESCHOOLDISTRICT,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
80,81,81,81,Gilroy,Glen View Elementary,600 West Eighth Street,"Monday, Wednesday, Friday


Lunes Miércoles Viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Gilroy,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000081,"Monday meal bags will contain meals through Wednesday morning. Wednesday meal bags will contain meals through Friday morning. Friday meal bags will contain meals through the following Monday morning. As always, adults may pick up as many meals as are needed for the children in their home. Children don't need to be present for adults to receive food.  . For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13533486.64,4439188.32
81,82,82,82,Gilroy,Rod Kelly Elementary,8755 Kern Avenue,"Monday, Wednesday, Friday


Lunes Miércoles Viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Gilroy,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000082,"Monday meal bags will contain meals through Wednesday morning. Wednesday meal bags will contain meals through Friday morning. Friday meal bags will contain meals through the following Monday morning. As always, adults may pick up as many meals as are needed for the children in their home. Children don't need to be present for adults to receive food.  . For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13535622.53,4442001.241
82,83,83,83,Gilroy,Rucker Elementary,"325 Santa Clara Avenue, Gilroy","Monday, Wednesday, Friday


Lunes Miércoles Viernes

**Meals for weekends will be distributed on Fridays.",10:00 a.m. -1:00 p.m.,Through June 5th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584146218/gusdk12caus/bfcq7hrb7p3yekhsrzgi/Mealsavailable_combined.pdf,Unincorporated,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000083,"Monday meal bags will contain meals through Wednesday morning. Wednesday meal bags will contain meals through Friday morning. Friday meal bags will contain meals through the following Monday morning. As always, adults may pick up as many meals as are needed for the children in their home. Children don't need to be present for adults to receive food.  . For information or if you have questions, please contact the Child Nutrition Department at Gilroy Unified School District:  (669) 205-4000, ext. 4044",-13535026.31,4446654.491
83,84,84,84,Lakeside Joint School District,Lakeside School,"19621 Black Road, Los Gatos","Once a week, by appointment, during district office hours (10am-3pm)",10:00 a.m. -3:00 p.m.,March 16th though April 3rd,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.lakesidelosgatos.org/,Unincorporated,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000084,Staff will be reaching out individually to families that participate in the state-funded school lunch program.,-13583078.75,4466103.989
84,85,85,85,Loma Prieta Joint Union,C.T. English Middle,"23800 Summit Rd, Los Gato",Gift Card to families who qualify for F&R lunch to buy food from the local store,,March 16th though April 3rd,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.loma.k12.ca.us/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=161&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=10036&PageID=1,Outside Santa Clara County,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000085,Staff will be reaching out individually to families that participate in the state-funded school lunch program.,-13574754.11,4456588.384
85,87,87,87,Los Gatos Union,Fisher Middle School,19195 Fisher Ave,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,March 16th until further notice,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.lgusd.org/apps/pages/index.jsp?uREC_ID=222268&type=d&pREC_ID=488024,Los Gatos,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000087,Grab and Go. 18 and younger,-13577342.79,4471751.932
86,89,89,89,Saratoga SD,Saratoga Elementary,"14592 Oak St, Saratoga","Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.saratogausd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=12&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=4563&PageID=1,Saratoga,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000089,Drive through Please stay in your car and meals will be passed to you.,-13584712.97,4474857.796
87,96,96,96,Luther Burbank,Luther Burbank,4 Wabash Ave San Jose,"Monday through Friday
de lunes a viernes",11:00 a.m-12:00 p.m.,March 16th through closure,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.lbsd.k12.ca.us/cms/lib/CA01001039/Centricity/Domain/1/Meal%20Letter.pdf,Unincorporated,6,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000096,"Children must be present, only available to children enrolled in Luther Burbank Pick up meals at North Wabash gate and Olive gate.",-13572803.56,4484334.954
88,97,97,97,Milpitas Unified,Spangler Elementary,140 N Abott Ave,"Monday's and Thursday's 

Lunes y jueves",9:00 a.m. to 12:00 p.m.,March 16th through school closure,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.musd.org/information-and-updates-regarding-novel-coronavirus.html,Milpitas,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000097,Normal week (w/ no holidays)  Monday service: 3 days worth of meals (pick up for Mon-Wed)  Thursday service: 4 days worth of meals (pick up for Thurs-Sunday),-13571343.69,4499298.54
89,98,98,98,Milpitas Unified,Milpitas High,1285 Escuela Pkwy,"Monday's and Thursday's 

Lunes y jueves",9:00 a.m. to 12:00 p.m.,March 16th through school closure,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.musd.org/information-and-updates-regarding-novel-coronavirus.html,Milpitas,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000098,Normal week (w/ no holidays)  Monday service: 3 days worth of meals (pick up for Mon-Wed)  Thursday service: 4 days worth of meals (pick up for Thurs-Sunday),-13569906.4,4502149.294
90,99,99,99,Milpitas Unified,MUSD Board Room,1331 E. Calavareas Blvd,"Monday's and Thursday's 

Lunes y jueves",9:00 a.m. to 12:00 p.m.,March 16th through school closure,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.musd.org/information-and-updates-regarding-novel-coronavirus.html,Milpitas,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000099,Normal week (w/ no holidays)  Monday service: 3 days worth of meals (pick up for Mon-Wed)  Thursday service: 4 days worth of meals (pick up for Thurs-Sunday),-13567933.83,4500182.318
91,100,100,100,Moreland,Anderson Elementary (Moreland),"4000 Rhoda Drive SJ
3750 Gleason Avenue SJ
","Monday-Friday


de lunes a viernes",11:00 a.m. to 12:30 p.m.,March 16th through end of May,"Breakfast, and Lunch.  Friday providing meals for the weekend for children and adults",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.moreland.org/apps/pages/index.jsp?uREC_ID=427292&type=d&pREC_ID=1830860,San Jose,1,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000100,"Please stay in your car and meals will be distributed, based on the number of children in the car. If you cannot drive to the site you can walk by. Meals will be offered on a “first come, first served” basis and the number of meals will be adjusted to the number of children needing food. Families from any Moreland school can access free meals during this period, as long as their children are with the adult at the time of pick-up. Meals are available for any preschool age child - 18 years old  *Dinners will be given for 5 days at Anderson Elementary Mondays during normal Breakfast/Lunch pickup.",-13577788.02,4481600.147
92,101,101,101,Morgan Hill Unified,Ann Sobrato High,401 Burnett Ave Morgan Hill,"March 23rd, Monday March 30th",11 a.m. to 1:00 p.m.,"March 23rd, Monday March 30th",Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mhusd.org/covid-19/shelter-in-place-updates,Morgan Hill,0,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000101,Children not need to be present for pickup. If you cannot drive you can walk. Please practice social distancing and maintain 6-foot distance from others. A weeks’ worth of meals will be distributed at a time,-13544291.43,4461279.712
93,102,102,102,Morgan Hill Unified,Los Paseos Elementary,"121 Avenida Grande, SJ","Mondays 

Los Lunes",11:00 a.m. to 1:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mhusd.org/covid-19/shelter-in-place-updates,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000102,"The children receiving the meals do not need to be present when the meals are picked up. If you cannot drive to the site, you can walk by. We then request you follow the county guidance of “social distancing” and maintain a six foot distance from others. A weeks worth of meals will be distributed at that time.",-13555305.14,4470894.464
94,103,103,103,Morgan Hill Unified,Barrett Middle,895 Barrett Ave Morgan Hill,"March 23rd, Monday March 30th",11 a.m. to 1:00 p.m.,"March 23rd, Monday March 30th",Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mhusd.org/covid-19/shelter-in-place-updates,Morgan Hill,0,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000103,Children not need to be present for pickup. If you cannot drive you can walk. Please practice social distancing and maintain 6-foot distance from others. A weeks’ worth of meals will be distributed at a time,-13539967.36,4456332.15
95,104,104,104,Morgan Hill Unified,El Toro Elementary,455 E Main Ave Morgan Hill,"March 23rd, Monday March 30th",11 a.m. to 1:00 p.m.,"March 23rd, Monday March 30th",Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mhusd.org/covid-19/shelter-in-place-updates,Morgan Hill,0,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000104,Children not need to be present for pickup. If you cannot drive you can walk. Please practice social distancing and maintain 6-foot distance from others. A weeks’ worth of meals will be distributed at a time,-13541948.38,4457989.57
96,105,105,105,Morgan Hill Unified,St Martin/Gwinn Elem.,13745 Llagas Ave San Martin,"Mondays 

Los Lunes",11:00 a.m. to 1:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mhusd.org/covid-19/shelter-in-place-updates,Unincorporated,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000105,"The children receiving the meals do not need to be present when the meals are picked up. If you cannot drive to the site, you can walk by. We then request you follow the county guidance of “social distancing” and maintain a six foot distance from others. A weeks worth of meals will be distributed at that time.",-13537616.28,4451646.983
97,106,106,106,Morgan Hill Unified,PA Walsh,"353 W Main Ave, Morgan Hill","March 23rd, Monday March 30th",11 a.m. to 1:00 p.m.,"March 23rd, Monday March 30th",Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mhusd.org/covid-19/shelter-in-place-updates,Morgan Hill,0,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000106,Children not need to be present for pickup. If you cannot drive you can walk. Please practice social distancing and maintain 6-foot distance from others. A weeks’ worth of meals will be distributed at a time,-13543331.46,4456892.981
98,107,107,107,Mount Pleasant Elementary,Mt Pleasant STEAM Academy,"14275 Candler Avenue, San Jose
1944 Flint Ave, San Jose","Monday through Friday


de lunes a viernes",9:00 a.m.-12:00 p.m.,March 16th-ongoing,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.facebook.com/MountPleasantESD/posts/2523622891232303,San Jose,5,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000107,"We are pleased to be offering FREE, grab and go breakfast and lunches for all of our students.  Please stop by at Mt. Pleasant STEAM Academy or August Boeger Middle School at 7:30 am or 11:30 am. We encourage you to come!",-13559876.54,4488714.276
99,108,108,108,Mountain View Whisman,Gabriela Mistral Elementary,505 Escuela Ave,"Monday through Friday


de lunes a viernes",11:30 a.m. to 1:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.mvwsd.org/cms/One.aspx?portalId=418858&pageId=14056991,Mountain View,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000108,"Meal service closed Friday, April 10. Food for April 10 will be given to families on April 9.",-13591450.1,4494350.138
100,110,110,110,Oak Grove,Anderson Elementary (Oak Grove),"5800 Calpine Dr San Jose 
","Monday through Friday


de lunes a viernes",10:30 to 11:30 a.m.,"Through district closure

En curso hasta el cierre de la escuela","Breakfast, lunch, and dinner",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.ogsd.net/,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000110,Free breakfast and lunch will continue to be served to children ages 0-18 Monday through Friday. Children DO NOT need to be present in order to receive meals.,-13560015.84,4473654.795
101,111,111,111,Oak Grove,Hayes Elementary,5035 Poston Dr,"Monday through Friday


de lunes a viernes",10:30 to 11:30 a.m.,"Through district closure

En curso hasta el cierre de la escuela","Breakfast, lunch, and dinner",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.ogsd.net/,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000111,Free breakfast and lunch will continue to be served to children ages 0-18 Monday through Friday. Children DO NOT need to be present in order to receive meals.,-13561745.14,4475707.282
102,112,112,112,Oak Grove,Edenvale Elementary,285 Azucar Ave,"Monday through Friday


de lunes a viernes",10:30 to 11:30 a.m.,"Through district closure

En curso hasta el cierre de la escuela","Breakfast, lunch, and dinner",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.ogsd.net/,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000112,Free breakfast and lunch will continue to be served to children ages 0-18 Monday through Friday. Children DO NOT need to be present in order to receive meals.,-13559085.19,4475738.166
103,113,113,113,Oak Grove,Davis Intermediate,5035 Edenview Dr,"Monday through Friday


de lunes a viernes",10:30 to 11:30 a.m.,"Through district closure

En curso hasta el cierre de la escuela","Breakfast, lunch, and dinner",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.ogsd.net/,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000113,Free breakfast and lunch will continue to be served to children ages 0-18 Monday through Friday. Children DO NOT need to be present in order to receive meals.,-13560066.46,4476393.889
104,114,114,114,Oak Grove,Stipe Elementary,5000 Lyng Dr,"Monday through Friday


de lunes a viernes",10:30 to 11:30 a.m.,"Through district closure

En curso hasta el cierre de la escuela","Breakfast, lunch, and dinner",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.ogsd.net/,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000114,Free breakfast and lunch will continue to be served to children ages 0-18 Monday through Friday. Children DO NOT need to be present in order to receive meals.,-13559323.91,4476996.005
105,115,115,115,Oak Grove,Christopher Elementary,265 Coyote Rd,"Monday through Friday


de lunes a viernes",10:30 to 11:30 a.m.,"Through district closure

En curso hasta el cierre de la escuela","Breakfast, lunch, and dinner",School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.ogsd.net/,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000115,Free breakfast and lunch will continue to be served to children ages 0-18 Monday through Friday. Children DO NOT need to be present in order to receive meals.,-13560787.21,4478157.543
106,116,116,116,Orchard School,Orchard School,921 Fox Ln,"Monday's only and 3 meals will be given

Thursday and Friday Meal Service at SCCOE

Solo el lunes y se darán 3 comidas

Servicio de comidas los jueves",11:30 a.m. to 12:30 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.orchardsd.org/,San Jose,4,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000116,"Please stay in your car and meals will be distributed, based on the number of children in the car. If you cannot drive to the site you can walk by. Meals will be offered on a “first come, first served” basis and the number of meals will be adjusted to the number of children needing food. This program will be solely for the pick-up of meals and meals will not be consumed on site. You will recieve enoug meals for until the next time meals are dispensed. Please contact DistrictOffice@orchardsd.org with any questions.",-13570079.22,4493482.377
107,117,117,117,Palo Alto Unified,Jane Lathrop Stanford Middle School,"480 East Meadow Drive, Palo Alto","Monday through Friday


de lunes a viernes",11:00 a.m. to 1:00 p.m.,March 16th though end of school year,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.pausd.org/explore-pausd/news/pausd-provide-free-meals-students-during-school-closure,Palo Alto,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000117,"PLEASE DO NOT GET OUT OF THE CAR, FOR YOUR SAFETY AND THE SAFETY OF THE FOOD SERVICE STAFF.  If you are walking or biking, please keep at least six feet between each group. Please do not come if you are sick.  ****Will be distrubiting meals for Saturday and Sunday during Friday meal distribution.",-13594176.2,4497988.829
108,118,118,118,Palo Alto Unified,Gunn High School,"780 Arastradero Road, Palo Alto","Monday through Friday


de lunes a viernes",11:00 a.m. to 1:00 p.m.,March 16th though end of school year,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.pausd.org/explore-pausd/news/pausd-provide-free-meals-students-during-school-closure,Palo Alto,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000118,"PLEASE DO NOT GET OUT OF THE CAR, FOR YOUR SAFETY AND THE SAFETY OF THE FOOD SERVICE STAFF.  If you are walking or biking, please keep at least six feet between each group. Please do not come if you are sick.  ****Will be distrubiting meals for Saturday and Sunday during Friday meal distribution.",-13595753.46,4495124.057
109,119,119,119,Palo Alto Unified,Greene Middle School,"701 N California Ave, Palo Alto","Monday through Friday


de lunes a viernes",11:00 a.m. to 1:00 p.m.,March 16th though end of school year,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.pausd.org/explore-pausd/news/pausd-provide-free-meals-students-during-school-closure,Palo Alto,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000119,"PLEASE DO NOT GET OUT OF THE CAR, FOR YOUR SAFETY AND THE SAFETY OF THE FOOD SERVICE STAFF.  If you are walking or biking, please keep at least six feet between each group. Please do not come if you are sick.  ****Will be distrubiting meals for Saturday and Sunday during Friday meal distribution.",-13596149.95,4500310.358
110,120,120,120,Rocketship Public Schools,Rocketship Alma School,"198 W Alma Ave, San Jose, CA","Monday and Thursdays

Lunes y jueves",9:00 a.m. to 1:00 p.m,Starting March 30th Mondays and Thursdays,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000120,Grab and Go. 18 and younger. Walk-up or drive through. No ID necessary. Adults can pick-up without children present.,-13567346.62,4482889.97
111,121,121,121,Rocketship Public Schools,Rocketship Fuerza School,"70 S Jackson Ave, San Jose, CA","Monday and Thursdays

Lunes y jueves",9:00 a.m. to 1:00 p.m,Starting March 30th Mondays and Thursdays,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000121,Grab and Go. 18 and younger. Walk-up or drive through. No ID necessary. Adults can pick-up without children present.,-13563408.8,4489069.097
112,122,122,122,Santa Clara Unified,Mayne Elementary,5030 N. First St Alviso,"Monday distribution for 5 days
Thursdays: 2:00-3:30 weekend Kid meal distribution ** See instructions for locations

Distribución de lunes por 5 días
",11:00 a.m. to 1:30 p.m.,On-going through closure,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.santaclarausd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5881&PageID=9,San Jose,4,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000122,"This meal service provides breakfast and lunch for five days for each child or developmentally disabled adult in at-risk families. In addition, weekend meal distribution is available on Thursdays from 2:00-3:30 at Cabrillo Middle School, 2550 Cabrillo Ave; Don Callejon School, 4176 Lick Mill Blvd; Wilcox High School, 3250 Monroe St.; and Santa Clara Senior Center, 1303 Fremont St. Please visit only one meal site so that we have enough for everyone. Meals will be distributed on a “grab and go” basis, so stay in your car or keep at least six feet between each group. Do not come if sick.",-13577283.31,4498419.392
113,123,123,123,Santa Clara Unified,Don Callejon School,4176 Lick Mill Blvd Santa Clara,"Monday distribution for 5 days
Thursdays: 2:00-3:30 weekend Kid meal distribution ** See instructions for locations

Distribución de lunes por 5 días
",11:00 a.m. to 1:30 p.m.,On-going through closure,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.santaclarausd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5881&PageID=9,Santa Clara,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000123,"This meal service provides breakfast and lunch for five days for each child or developmentally disabled adult in at-risk families. In addition, weekend meal distribution is available on Thursdays from 2:00-3:30 at Cabrillo Middle School, 2550 Cabrillo Ave; Don Callejon School, 4176 Lick Mill Blvd; Wilcox High School, 3250 Monroe St.; and Santa Clara Senior Center, 1303 Fremont St. Please visit only one meal site so that we have enough for everyone. Meals will be distributed on a “grab and go” basis, so stay in your car or keep at least six feet between each group. Do not come if sick.",-13575014.85,4494789.828
114,124,124,124,Santa Clara Unified,Buchser Middle,1111 Bellomy St Santa Clara,"Monday distribution for 5 days
Thursdays: 2:00-3:30 weekend Kid meal distribution ** See instructions for locations

Distribución de lunes por 5 días
",11:00 a.m. to 1:30 p.m.,On-going through closure,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.santaclarausd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5881&PageID=9,Santa Clara,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000124,"This meal service provides breakfast and lunch for five days for each child or developmentally disabled adult in at-risk families. In addition, weekend meal distribution is available on Thursdays from 2:00-3:30 at Cabrillo Middle School, 2550 Cabrillo Ave; Don Callejon School, 4176 Lick Mill Blvd; Wilcox High School, 3250 Monroe St.; and Santa Clara Senior Center, 1303 Fremont St. Please visit only one meal site so that we have enough for everyone. Meals will be distributed on a “grab and go” basis, so stay in your car or keep at least six feet between each group. Do not come if sick.",-13574767.73,4487322.304
115,125,125,125,Santa Clara Unified,Peterson Middle,1380 Rosalia Ave Sunnyvale,"Monday distribution for 5 days
Thursdays: 2:00-3:30 weekend Kid meal distribution ** See instructions for locations

Distribución de lunes por 5 días
",11:00 a.m. to 1:30 p.m.,On-going through closure,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.santaclarausd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5881&PageID=9,Sunnyvale,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000125,"This meal service provides breakfast and lunch for five days for each child or developmentally disabled adult in at-risk families. In addition, weekend meal distribution is available on Thursdays from 2:00-3:30 at Cabrillo Middle School, 2550 Cabrillo Ave; Don Callejon School, 4176 Lick Mill Blvd; Wilcox High School, 3250 Monroe St.; and Santa Clara Senior Center, 1303 Fremont St. Please visit only one meal site so that we have enough for everyone. Meals will be distributed on a “grab and go” basis, so stay in your car or keep at least six feet between each group. Do not come if sick.",-13581776.84,4487962.21
116,126,126,126,Santa Clara Unified,Cabrillo Middle,2550 Cabrillo Ave Santa Clara,"Monday distribution for 5 days
Thursdays: 2:00-3:30 weekend Kid meal distribution ** See instructions for locations

Distribución de lunes por 5 días
",11:00 a.m. to 1:30 p.m.,On-going through closure,Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.santaclarausd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5881&PageID=9,Santa Clara,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000126,"This meal service provides breakfast and lunch for five days for each child or developmentally disabled adult in at-risk families. In addition, weekend meal distribution is available on Thursdays from 2:00-3:30 at Cabrillo Middle School, 2550 Cabrillo Ave; Don Callejon School, 4176 Lick Mill Blvd; Wilcox High School, 3250 Monroe St.; and Santa Clara Senior Center, 1303 Fremont St. Please visit only one meal site so that we have enough for everyone. Meals will be distributed on a “grab and go” basis, so stay in your car or keep at least six feet between each group. Do not come if sick.",-13577841.73,4489179.622
